key,value
exported_at,2026-05-29T15:29:46.133Z
v0,100.000000
energy_setting,96.000000
gamma_internal,1.000000
gamma_displayed,0.000000
instrument_sigma,5.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
energy_axis_max,130.000000
classical_measurements,10000.000000
classical_mean_x,0.501515
classical_mean_E,96.052654
quantum_position_measurements,10000.000000
quantum_energy_measurements,10000.000000
quantum_ionisation_events,0.000000
quantum_outside_box_events,3959.000000
quantum_mean_x,0.503469
quantum_mean_E,96.276785

eigenstate_n,parity,energy_E_n,k,kappa
1,even,6.827142,2.612880,9.652609
2,odd,26.951445,5.191478,8.546845
3,even,58.904615,7.674934,6.410568
4,odd,96.286928,9.812590,1.926933

type,panel,bin_index,bin_center,density
position,classical,0,-0.293333,0.000000
position,quantum,0,-0.293333,0.465000
position,classical,1,-0.280000,0.000000
position,quantum,1,-0.280000,0.375000
position,classical,2,-0.266667,0.000000
position,quantum,2,-0.266667,0.397500
position,classical,3,-0.253333,0.000000
position,quantum,3,-0.253333,0.360000
position,classical,4,-0.240000,0.000000
position,quantum,4,-0.240000,0.480000
position,classical,5,-0.226667,0.000000
position,quantum,5,-0.226667,0.495000
position,classical,6,-0.213333,0.000000
position,quantum,6,-0.213333,0.397500
position,classical,7,-0.200000,0.000000
position,quantum,7,-0.200000,0.592500
position,classical,8,-0.186667,0.000000
position,quantum,8,-0.186667,0.472500
position,classical,9,-0.173333,0.000000
position,quantum,9,-0.173333,0.622500
position,classical,10,-0.160000,0.000000
position,quantum,10,-0.160000,0.577500
position,classical,11,-0.146667,0.000000
position,quantum,11,-0.146667,0.525000
position,classical,12,-0.133333,0.000000
position,quantum,12,-0.133333,0.600000
position,classical,13,-0.120000,0.000000
position,quantum,13,-0.120000,0.817500
position,classical,14,-0.106667,0.000000
position,quantum,14,-0.106667,0.742500
position,classical,15,-0.093333,0.000000
position,quantum,15,-0.093333,0.757500
position,classical,16,-0.080000,0.000000
position,quantum,16,-0.080000,0.712500
position,classical,17,-0.066667,0.000000
position,quantum,17,-0.066667,0.907500
position,classical,18,-0.053333,0.000000
position,quantum,18,-0.053333,0.945000
position,classical,19,-0.040000,0.000000
position,quantum,19,-0.040000,0.945000
position,classical,20,-0.026667,0.000000
position,quantum,20,-0.026667,1.005000
position,classical,21,-0.013333,0.000000
position,quantum,21,-0.013333,0.930000
position,classical,22,0.000000,0.577500
position,quantum,22,0.000000,1.170000
position,classical,23,0.013333,1.027500
position,quantum,23,0.013333,1.252500
position,classical,24,0.026667,1.012500
position,quantum,24,0.026667,1.027500
position,classical,25,0.040000,0.922500
position,quantum,25,0.040000,1.117500
position,classical,26,0.053333,1.072500
position,quantum,26,0.053333,1.042500
position,classical,27,0.066667,0.937500
position,quantum,27,0.066667,0.945000
position,classical,28,0.080000,0.960000
position,quantum,28,0.080000,0.742500
position,classical,29,0.093333,1.065000
position,quantum,29,0.093333,0.592500
position,classical,30,0.106667,0.975000
position,quantum,30,0.106667,0.532500
position,classical,31,0.120000,0.952500
position,quantum,31,0.120000,0.285000
position,classical,32,0.133333,1.005000
position,quantum,32,0.133333,0.270000
position,classical,33,0.146667,1.012500
position,quantum,33,0.146667,0.105000
position,classical,34,0.160000,1.027500
position,quantum,34,0.160000,0.082500
position,classical,35,0.173333,1.005000
position,quantum,35,0.173333,0.015000
position,classical,36,0.186667,0.982500
position,quantum,36,0.186667,0.000000
position,classical,37,0.200000,1.020000
position,quantum,37,0.200000,0.060000
position,classical,38,0.213333,1.005000
position,quantum,38,0.213333,0.135000
position,classical,39,0.226667,0.960000
position,quantum,39,0.226667,0.195000
position,classical,40,0.240000,0.967500
position,quantum,40,0.240000,0.337500
position,classical,41,0.253333,1.020000
position,quantum,41,0.253333,0.472500
position,classical,42,0.266667,0.907500
position,quantum,42,0.266667,0.622500
position,classical,43,0.280000,1.080000
position,quantum,43,0.280000,0.817500
position,classical,44,0.293333,0.960000
position,quantum,44,0.293333,1.020000
position,classical,45,0.306667,1.005000
position,quantum,45,0.306667,1.125000
position,classical,46,0.320000,1.012500
position,quantum,46,0.320000,1.170000
position,classical,47,0.333333,0.900000
position,quantum,47,0.333333,0.975000
position,classical,48,0.346667,1.057500
position,quantum,48,0.346667,1.050000
position,classical,49,0.360000,1.012500
position,quantum,49,0.360000,1.125000
position,classical,50,0.373333,0.922500
position,quantum,50,0.373333,1.050000
position,classical,51,0.386667,1.080000
position,quantum,51,0.386667,0.967500
position,classical,52,0.400000,0.960000
position,quantum,52,0.400000,0.802500
position,classical,53,0.413333,0.967500
position,quantum,53,0.413333,0.675000
position,classical,54,0.426667,1.005000
position,quantum,54,0.426667,0.450000
position,classical,55,0.440000,0.990000
position,quantum,55,0.440000,0.307500
position,classical,56,0.453333,0.982500
position,quantum,56,0.453333,0.277500
position,classical,57,0.466667,1.042500
position,quantum,57,0.466667,0.112500
position,classical,58,0.480000,0.930000
position,quantum,58,0.480000,0.067500
position,classical,59,0.493333,1.042500
position,quantum,59,0.493333,0.007500
position,classical,60,0.506667,0.937500
position,quantum,60,0.506667,0.000000
position,classical,61,0.520000,1.057500
position,quantum,61,0.520000,0.060000
position,classical,62,0.533333,0.990000
position,quantum,62,0.533333,0.150000
position,classical,63,0.546667,0.945000
position,quantum,63,0.546667,0.277500
position,classical,64,0.560000,1.065000
position,quantum,64,0.560000,0.307500
position,classical,65,0.573333,0.900000
position,quantum,65,0.573333,0.607500
position,classical,66,0.586667,1.057500
position,quantum,66,0.586667,0.615000
position,classical,67,0.600000,1.005000
position,quantum,67,0.600000,0.892500
position,classical,68,0.613333,0.915000
position,quantum,68,0.613333,1.027500
position,classical,69,0.626667,1.162500
position,quantum,69,0.626667,1.005000
position,classical,70,0.640000,0.817500
position,quantum,70,0.640000,1.222500
position,classical,71,0.653333,1.087500
position,quantum,71,0.653333,1.222500
position,classical,72,0.666667,0.990000
position,quantum,72,0.666667,0.975000
position,classical,73,0.680000,0.990000
position,quantum,73,0.680000,1.057500
position,classical,74,0.693333,1.042500
position,quantum,74,0.693333,0.967500
position,classical,75,0.706667,0.960000
position,quantum,75,0.706667,0.967500
position,classical,76,0.720000,1.020000
position,quantum,76,0.720000,0.742500
position,classical,77,0.733333,0.930000
position,quantum,77,0.733333,0.540000
position,classical,78,0.746667,1.042500
position,quantum,78,0.746667,0.427500
position,classical,79,0.760000,0.990000
position,quantum,79,0.760000,0.390000
position,classical,80,0.773333,0.967500
position,quantum,80,0.773333,0.232500
position,classical,81,0.786667,1.020000
position,quantum,81,0.786667,0.082500
position,classical,82,0.800000,1.042500
position,quantum,82,0.800000,0.030000
position,classical,83,0.813333,1.020000
position,quantum,83,0.813333,0.000000
position,classical,84,0.826667,0.937500
position,quantum,84,0.826667,0.000000
position,classical,85,0.840000,1.050000
position,quantum,85,0.840000,0.037500
position,classical,86,0.853333,0.975000
position,quantum,86,0.853333,0.135000
position,classical,87,0.866667,0.960000
position,quantum,87,0.866667,0.225000
position,classical,88,0.880000,1.117500
position,quantum,88,0.880000,0.435000
position,classical,89,0.893333,0.892500
position,quantum,89,0.893333,0.525000
position,classical,90,0.906667,1.005000
position,quantum,90,0.906667,0.675000
position,classical,91,0.920000,1.072500
position,quantum,91,0.920000,1.012500
position,classical,92,0.933333,0.907500
position,quantum,92,0.933333,0.937500
position,classical,93,0.946667,1.125000
position,quantum,93,0.946667,1.020000
position,classical,94,0.960000,0.877500
position,quantum,94,0.960000,1.230000
position,classical,95,0.973333,1.102500
position,quantum,95,0.973333,1.080000
position,classical,96,0.986667,0.960000
position,quantum,96,0.986667,1.230000
position,classical,97,1.000000,0.697500
position,quantum,97,1.000000,1.132500
position,classical,98,1.013333,0.000000
position,quantum,98,1.013333,1.140000
position,classical,99,1.026667,0.000000
position,quantum,99,1.026667,0.967500
position,classical,100,1.040000,0.000000
position,quantum,100,1.040000,1.042500
position,classical,101,1.053333,0.000000
position,quantum,101,1.053333,0.975000
position,classical,102,1.066667,0.000000
position,quantum,102,1.066667,0.862500
position,classical,103,1.080000,0.000000
position,quantum,103,1.080000,0.750000
position,classical,104,1.093333,0.000000
position,quantum,104,1.093333,0.825000
position,classical,105,1.106667,0.000000
position,quantum,105,1.106667,0.765000
position,classical,106,1.120000,0.000000
position,quantum,106,1.120000,0.675000
position,classical,107,1.133333,0.000000
position,quantum,107,1.133333,0.712500
position,classical,108,1.146667,0.000000
position,quantum,108,1.146667,0.667500
position,classical,109,1.160000,0.000000
position,quantum,109,1.160000,0.727500
position,classical,110,1.173333,0.000000
position,quantum,110,1.173333,0.562500
position,classical,111,1.186667,0.000000
position,quantum,111,1.186667,0.615000
position,classical,112,1.200000,0.000000
position,quantum,112,1.200000,0.435000
position,classical,113,1.213333,0.000000
position,quantum,113,1.213333,0.405000
position,classical,114,1.226667,0.000000
position,quantum,114,1.226667,0.412500
position,classical,115,1.240000,0.000000
position,quantum,115,1.240000,0.397500
position,classical,116,1.253333,0.000000
position,quantum,116,1.253333,0.382500
position,classical,117,1.266667,0.000000
position,quantum,117,1.266667,0.375000
position,classical,118,1.280000,0.000000
position,quantum,118,1.280000,0.390000
position,classical,119,1.293333,0.000000
position,quantum,119,1.293333,0.105000
energy,classical,0,0.650000,0.000000
energy,quantum,0,0.650000,0.000000
energy,classical,1,1.950000,0.000000
energy,quantum,1,1.950000,0.000000
energy,classical,2,3.250000,0.000000
energy,quantum,2,3.250000,0.000000
energy,classical,3,4.550000,0.000000
energy,quantum,3,4.550000,0.000000
energy,classical,4,5.850000,0.000000
energy,quantum,4,5.850000,0.000000
