key,value
exported_at,2026-05-28T01:58:07.853Z
v0,50.000000
energy_setting,46.000000
gamma_internal,1.000000
gamma_displayed,0.000000
instrument_sigma,0.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
energy_axis_max,65.000000
classical_measurements,10000.000000
classical_mean_x,0.499477
classical_mean_E,46.000000
quantum_position_measurements,9579.000000
quantum_energy_measurements,10000.000000
quantum_ionisation_events,421.000000
quantum_outside_box_events,3669.000000
quantum_mean_x,0.502720
quantum_mean_E,47.377152

eigenstate_n,parity,energy_E_n,k,kappa
1,even,5.942243,2.437672,6.637602
2,odd,22.976755,4.793407,5.198389
3,even,46.497502,6.818908,1.871496

type,panel,bin_index,bin_center,density
position,classical,0,-0.293333,0.000000
position,quantum,0,-0.293333,0.430630
position,classical,1,-0.280000,0.000000
position,quantum,1,-0.280000,0.391481
position,classical,2,-0.266667,0.000000
position,quantum,2,-0.266667,0.383652
position,classical,3,-0.253333,0.000000
position,quantum,3,-0.253333,0.344504
position,classical,4,-0.240000,0.000000
position,quantum,4,-0.240000,0.321015
position,classical,5,-0.226667,0.000000
position,quantum,5,-0.226667,0.407141
position,classical,6,-0.213333,0.000000
position,quantum,6,-0.213333,0.477607
position,classical,7,-0.200000,0.000000
position,quantum,7,-0.200000,0.375822
position,classical,8,-0.186667,0.000000
position,quantum,8,-0.186667,0.532415
position,classical,9,-0.173333,0.000000
position,quantum,9,-0.173333,0.665518
position,classical,10,-0.160000,0.000000
position,quantum,10,-0.160000,0.532415
position,classical,11,-0.146667,0.000000
position,quantum,11,-0.146667,0.642029
position,classical,12,-0.133333,0.000000
position,quantum,12,-0.133333,0.728155
position,classical,13,-0.120000,0.000000
position,quantum,13,-0.120000,0.618541
position,classical,14,-0.106667,0.000000
position,quantum,14,-0.106667,0.665518
position,classical,15,-0.093333,0.000000
position,quantum,15,-0.093333,0.845600
position,classical,16,-0.080000,0.000000
position,quantum,16,-0.080000,0.829940
position,classical,17,-0.066667,0.000000
position,quantum,17,-0.066667,0.790792
position,classical,18,-0.053333,0.000000
position,quantum,18,-0.053333,0.751644
position,classical,19,-0.040000,0.000000
position,quantum,19,-0.040000,0.963044
position,classical,20,-0.026667,0.000000
position,quantum,20,-0.026667,0.994363
position,classical,21,-0.013333,0.000000
position,quantum,21,-0.013333,0.955215
position,classical,22,0.000000,0.502500
position,quantum,22,0.000000,1.150955
position,classical,23,0.013333,1.012500
position,quantum,23,0.013333,1.064829
position,classical,24,0.026667,1.020000
position,quantum,24,0.026667,1.064829
position,classical,25,0.040000,0.975000
position,quantum,25,0.040000,1.119637
position,classical,26,0.053333,0.997500
position,quantum,26,0.053333,1.276229
position,classical,27,0.066667,1.065000
position,quantum,27,0.066667,1.127466
position,classical,28,0.080000,0.975000
position,quantum,28,0.080000,1.096148
position,classical,29,0.093333,0.997500
position,quantum,29,0.093333,1.064829
position,classical,30,0.106667,1.005000
position,quantum,30,0.106667,0.923896
position,classical,31,0.120000,0.990000
position,quantum,31,0.120000,0.869089
position,classical,32,0.133333,1.020000
position,quantum,32,0.133333,0.759474
position,classical,33,0.146667,1.012500
position,quantum,33,0.146667,0.649859
position,classical,34,0.160000,0.997500
position,quantum,34,0.160000,0.579392
position,classical,35,0.173333,1.012500
position,quantum,35,0.173333,0.352333
position,classical,36,0.186667,1.065000
position,quantum,36,0.186667,0.313185
position,classical,37,0.200000,0.960000
position,quantum,37,0.200000,0.219230
position,classical,38,0.213333,1.005000
position,quantum,38,0.213333,0.101785
position,classical,39,0.226667,0.967500
position,quantum,39,0.226667,0.070467
position,classical,40,0.240000,1.027500
position,quantum,40,0.240000,0.070467
position,classical,41,0.253333,1.027500
position,quantum,41,0.253333,0.015659
position,classical,42,0.266667,1.012500
position,quantum,42,0.266667,0.015659
position,classical,43,0.280000,0.990000
position,quantum,43,0.280000,0.007830
position,classical,44,0.293333,0.997500
position,quantum,44,0.293333,0.039148
position,classical,45,0.306667,0.952500
position,quantum,45,0.306667,0.078296
position,classical,46,0.320000,1.005000
position,quantum,46,0.320000,0.133104
position,classical,47,0.333333,0.945000
position,quantum,47,0.333333,0.203570
position,classical,48,0.346667,1.057500
position,quantum,48,0.346667,0.219230
position,classical,49,0.360000,0.997500
position,quantum,49,0.360000,0.438459
position,classical,50,0.373333,1.005000
position,quantum,50,0.373333,0.430630
position,classical,51,0.386667,1.012500
position,quantum,51,0.386667,0.548074
position,classical,52,0.400000,0.990000
position,quantum,52,0.400000,0.657689
position,classical,53,0.413333,0.922500
position,quantum,53,0.413333,0.735985
position,classical,54,0.426667,1.057500
position,quantum,54,0.426667,0.861259
position,classical,55,0.440000,1.027500
position,quantum,55,0.440000,1.049170
position,classical,56,0.453333,0.990000
position,quantum,56,0.453333,1.127466
position,classical,57,0.466667,0.952500
position,quantum,57,0.466667,1.010022
position,classical,58,0.480000,0.975000
position,quantum,58,0.480000,1.049170
position,classical,59,0.493333,0.997500
position,quantum,59,0.493333,1.315377
position,classical,60,0.506667,1.012500
position,quantum,60,0.506667,1.049170
position,classical,61,0.520000,0.997500
position,quantum,61,0.520000,1.025681
position,classical,62,0.533333,1.005000
position,quantum,62,0.533333,0.931726
position,classical,63,0.546667,0.982500
position,quantum,63,0.546667,1.119637
position,classical,64,0.560000,0.975000
position,quantum,64,0.560000,1.033511
position,classical,65,0.573333,1.005000
position,quantum,65,0.573333,0.892578
position,classical,66,0.586667,1.027500
position,quantum,66,0.586667,0.806452
position,classical,67,0.600000,1.012500
position,quantum,67,0.600000,0.712496
position,classical,68,0.613333,0.960000
position,quantum,68,0.613333,0.751644
position,classical,69,0.626667,0.937500
position,quantum,69,0.626667,0.516755
position,classical,70,0.640000,1.050000
position,quantum,70,0.640000,0.383652
position,classical,71,0.653333,1.057500
position,quantum,71,0.653333,0.242718
position,classical,72,0.666667,0.990000
position,quantum,72,0.666667,0.156593
position,classical,73,0.680000,0.937500
position,quantum,73,0.680000,0.093956
position,classical,74,0.693333,1.035000
position,quantum,74,0.693333,0.070467
position,classical,75,0.706667,0.982500
position,quantum,75,0.706667,0.015659
position,classical,76,0.720000,1.020000
position,quantum,76,0.720000,0.000000
position,classical,77,0.733333,1.012500
position,quantum,77,0.733333,0.007830
position,classical,78,0.746667,1.035000
position,quantum,78,0.746667,0.007830
position,classical,79,0.760000,0.937500
position,quantum,79,0.760000,0.078296
position,classical,80,0.773333,0.990000
position,quantum,80,0.773333,0.109615
position,classical,81,0.786667,0.975000
position,quantum,81,0.786667,0.180081
position,classical,82,0.800000,0.967500
position,quantum,82,0.800000,0.289696
position,classical,83,0.813333,1.005000
position,quantum,83,0.813333,0.266207
position,classical,84,0.826667,1.027500
position,quantum,84,0.826667,0.399311
position,classical,85,0.840000,0.990000
position,quantum,85,0.840000,0.555904
position,classical,86,0.853333,1.065000
position,quantum,86,0.853333,0.649859
position,classical,87,0.866667,0.975000
position,quantum,87,0.866667,0.751644
position,classical,88,0.880000,0.982500
position,quantum,88,0.880000,0.759474
position,classical,89,0.893333,0.997500
position,quantum,89,0.893333,0.947385
position,classical,90,0.906667,1.005000
position,quantum,90,0.906667,0.876918
position,classical,91,0.920000,1.027500
position,quantum,91,0.920000,0.947385
position,classical,92,0.933333,0.982500
position,quantum,92,0.933333,1.080489
position,classical,93,0.946667,1.035000
position,quantum,93,0.946667,1.362355
position,classical,94,0.960000,0.990000
position,quantum,94,0.960000,1.197933
position,classical,95,0.973333,1.012500
position,quantum,95,0.973333,1.017852
position,classical,96,0.986667,0.982500
position,quantum,96,0.986667,1.190103
position,classical,97,1.000000,0.495000
position,quantum,97,1.000000,1.025681
position,classical,98,1.013333,0.000000
position,quantum,98,1.013333,1.064829
position,classical,99,1.026667,0.000000
position,quantum,99,1.026667,0.892578
position,classical,100,1.040000,0.000000
position,quantum,100,1.040000,0.876918
position,classical,101,1.053333,0.000000
position,quantum,101,1.053333,0.814281
position,classical,102,1.066667,0.000000
position,quantum,102,1.066667,0.908237
position,classical,103,1.080000,0.000000
position,quantum,103,1.080000,0.790792
position,classical,104,1.093333,0.000000
position,quantum,104,1.093333,0.720326
position,classical,105,1.106667,0.000000
position,quantum,105,1.106667,0.689007
position,classical,106,1.120000,0.000000
position,quantum,106,1.120000,0.642029
position,classical,107,1.133333,0.000000
position,quantum,107,1.133333,0.673348
position,classical,108,1.146667,0.000000
position,quantum,108,1.146667,0.673348
position,classical,109,1.160000,0.000000
position,quantum,109,1.160000,0.579392
position,classical,110,1.173333,0.000000
position,quantum,110,1.173333,0.665518
position,classical,111,1.186667,0.000000
position,quantum,111,1.186667,0.516755
position,classical,112,1.200000,0.000000
position,quantum,112,1.200000,0.501096
position,classical,113,1.213333,0.000000
position,quantum,113,1.213333,0.407141
position,classical,114,1.226667,0.000000
position,quantum,114,1.226667,0.516755
position,classical,115,1.240000,0.000000
position,quantum,115,1.240000,0.461948
position,classical,116,1.253333,0.000000
position,quantum,116,1.253333,0.454118
position,classical,117,1.266667,0.000000
position,quantum,117,1.266667,0.328844
position,classical,118,1.280000,0.000000
position,quantum,118,1.280000,0.352333
position,classical,119,1.293333,0.000000
position,quantum,119,1.293333,0.227059
energy,classical,0,0.325000,0.000000
energy,quantum,0,0.325000,0.000000
energy,classical,1,0.975000,0.000000
energy,quantum,1,0.975000,0.000000
energy,classical,2,1.625000,0.000000
energy,quantum,2,1.625000,0.000000
energy,classical,3,2.275000,0.000000
energy,quantum,3,2.275000,0.000000
energy,classical,4,2.925000,0.000000
energy,quantum,4,2.925000,0.000000
energy,classical,5,3.575000,0.000000
energy,quantum,5,3.575000,0.000000
energy,classical,6,4.225000,0.000000
energy,quantum,6,4.225000,0.000000
energy,classical,7,4.875000,0.000000
energy,quantum,7,4.875000,0.000000
energy,classical,8,5.525000,0.000000
energy,quantum,8,5.525000,0.000000
energy,classical,9,6.175000,0.000000
energy,quantum,9,6.175000,0.000462
energy,classical,10,6.825000,0.000000
energy,quantum,10,6.825000,0.000000
energy,classical,11,7.475000,0.000000
energy,quantum,11,7.475000,0.000000
energy,classical,12,8.125000,0.000000
energy,quantum,12,8.125000,0.000000
energy,classical,13,8.775000,0.000000
energy,quantum,13,8.775000,0.000000
energy,classical,14,9.425000,0.000000
energy,quantum,14,9.425000,0.000000
energy,classical,15,10.075000,0.000000
energy,quantum,15,10.075000,0.000000
energy,classical,16,10.725000,0.000000
energy,quantum,16,10.725000,0.000000
energy,classical,17,11.375000,0.000000
energy,quantum,17,11.375000,0.000000
energy,classical,18,12.025000,0.000000
energy,quantum,18,12.025000,0.000000
energy,classical,19,12.675000,0.000000
energy,quantum,19,12.675000,0.000000
energy,classical,20,13.325000,0.000000
energy,quantum,20,13.325000,0.000000
energy,classical,21,13.975000,0.000000
energy,quantum,21,13.975000,0.000000
energy,classical,22,14.625000,0.000000
energy,quantum,22,14.625000,0.000000
energy,classical,23,15.275000,0.000000
energy,quantum,23,15.275000,0.000000
energy,classical,24,15.925000,0.000000
energy,quantum,24,15.925000,0.000000
energy,classical,25,16.575000,0.000000
energy,quantum,25,16.575000,0.000000
energy,classical,26,17.225000,0.000000
energy,quantum,26,17.225000,0.000000
energy,classical,27,17.875000,0.000000
energy,quantum,27,17.875000,0.000000
energy,classical,28,18.525000,0.000000
energy,quantum,28,18.525000,0.000000
energy,classical,29,19.175000,0.000000
energy,quantum,29,19.175000,0.000000
energy,classical,30,19.825000,0.000000
energy,quantum,30,19.825000,0.000000
energy,classical,31,20.475000,0.000000
energy,quantum,31,20.475000,0.000000
energy,classical,32,21.125000,0.000000
energy,quantum,32,21.125000,0.000000
energy,classical,33,21.775000,0.000000
energy,quantum,33,21.775000,0.000000
energy,classical,34,22.425000,0.000000
energy,quantum,34,22.425000,0.000000
energy,classical,35,23.075000,0.000000
energy,quantum,35,23.075000,0.001538
energy,classical,36,23.725000,0.000000
energy,quantum,36,23.725000,0.000000
energy,classical,37,24.375000,0.000000
energy,quantum,37,24.375000,0.000000
energy,classical,38,25.025000,0.000000
energy,quantum,38,25.025000,0.000000
energy,classical,39,25.675000,0.000000
energy,quantum,39,25.675000,0.000000
energy,classical,40,26.325000,0.000000
energy,quantum,40,26.325000,0.000000
energy,classical,41,26.975000,0.000000
energy,quantum,41,26.975000,0.000000
energy,classical,42,27.625000,0.000000
energy,quantum,42,27.625000,0.000000
energy,classical,43,28.275000,0.000000
energy,quantum,43,28.275000,0.000000
energy,classical,44,28.925000,0.000000
energy,quantum,44,28.925000,0.000000
energy,classical,45,29.575000,0.000000
energy,quantum,45,29.575000,0.000000
energy,classical,46,30.225000,0.000000
energy,quantum,46,30.225000,0.000000
energy,classical,47,30.875000,0.000000
energy,quantum,47,30.875000,0.000000
energy,classical,48,31.525000,0.000000
energy,quantum,48,31.525000,0.000000
energy,classical,49,32.175000,0.000000
energy,quantum,49,32.175000,0.000000
energy,classical,50,32.825000,0.000000
energy,quantum,50,32.825000,0.000000
energy,classical,51,33.475000,0.000000
energy,quantum,51,33.475000,0.000000
energy,classical,52,34.125000,0.000000
energy,quantum,52,34.125000,0.000000
energy,classical,53,34.775000,0.000000
energy,quantum,53,34.775000,0.000000
energy,classical,54,35.425000,0.000000
energy,quantum,54,35.425000,0.000000
energy,classical,55,36.075000,0.000000
energy,quantum,55,36.075000,0.000000
energy,classical,56,36.725000,0.000000
energy,quantum,56,36.725000,0.000000
energy,classical,57,37.375000,0.000000
energy,quantum,57,37.375000,0.000000
energy,classical,58,38.025000,0.000000
energy,quantum,58,38.025000,0.000000
energy,classical,59,38.675000,0.000000
energy,quantum,59,38.675000,0.000000
energy,classical,60,39.325000,0.000000
energy,quantum,60,39.325000,0.000000
energy,classical,61,39.975000,0.000000
energy,quantum,61,39.975000,0.000000
energy,classical,62,40.625000,0.000000
energy,quantum,62,40.625000,0.000000
energy,classical,63,41.275000,0.000000
energy,quantum,63,41.275000,0.000000
energy,classical,64,41.925000,0.000000
energy,quantum,64,41.925000,0.000000
energy,classical,65,42.575000,0.000000
energy,quantum,65,42.575000,0.000000
energy,classical,66,43.225000,0.000000
energy,quantum,66,43.225000,0.000000
energy,classical,67,43.875000,0.000000
energy,quantum,67,43.875000,0.000000
energy,classical,68,44.525000,0.000000
energy,quantum,68,44.525000,0.000000
energy,classical,69,45.175000,0.000000
energy,quantum,69,45.175000,0.000000
energy,classical,70,45.825000,1.538462
energy,quantum,70,45.825000,0.000000
energy,classical,71,46.475000,0.000000
energy,quantum,71,46.475000,1.471692
energy,classical,72,47.125000,0.000000
energy,quantum,72,47.125000,0.000000
energy,classical,73,47.775000,0.000000
energy,quantum,73,47.775000,0.000000
energy,classical,74,48.425000,0.000000
energy,quantum,74,48.425000,0.000000
energy,classical,75,49.075000,0.000000
energy,quantum,75,49.075000,0.000000
energy,classical,76,49.725000,0.000000
energy,quantum,76,49.725000,0.000923
energy,classical,77,50.375000,0.000000
energy,quantum,77,50.375000,0.008308
energy,classical,78,51.025000,0.000000
energy,quantum,78,51.025000,0.005077
energy,classical,79,51.675000,0.000000
energy,quantum,79,51.675000,0.004923
energy,classical,80,52.325000,0.000000
energy,quantum,80,52.325000,0.004000
energy,classical,81,52.975000,0.000000
energy,quantum,81,52.975000,0.004000
energy,classical,82,53.625000,0.000000
energy,quantum,82,53.625000,0.003538
energy,classical,83,54.275000,0.000000
energy,quantum,83,54.275000,0.002462
energy,classical,84,54.925000,0.000000
energy,quantum,84,54.925000,0.003077
energy,classical,85,55.575000,0.000000
energy,quantum,85,55.575000,0.002000
energy,classical,86,56.225000,0.000000
energy,quantum,86,56.225000,0.002462
energy,classical,87,56.875000,0.000000
energy,quantum,87,56.875000,0.000923
energy,classical,88,57.525000,0.000000
energy,quantum,88,57.525000,0.001231
energy,classical,89,58.175000,0.000000
energy,quantum,89,58.175000,0.001231
energy,classical,90,58.825000,0.000000
energy,quantum,90,58.825000,0.001231
energy,classical,91,59.475000,0.000000
energy,quantum,91,59.475000,0.001077
energy,classical,92,60.125000,0.000000
energy,quantum,92,60.125000,0.000769
energy,classical,93,60.775000,0.000000
energy,quantum,93,60.775000,0.000769
energy,classical,94,61.425000,0.000000
energy,quantum,94,61.425000,0.000769
energy,classical,95,62.075000,0.000000
energy,quantum,95,62.075000,0.001077
energy,classical,96,62.725000,0.000000
energy,quantum,96,62.725000,0.000308
energy,classical,97,63.375000,0.000000
energy,quantum,97,63.375000,0.000308
energy,classical,98,64.025000,0.000000
energy,quantum,98,64.025000,0.000769
energy,classical,99,64.675000,0.000000
energy,quantum,99,64.675000,0.000615
