key,value
exported_at,2026-05-29T21:01:23.954Z
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
show_eigenstates,true
show_theory,false
links.shape,false
links.L,true
links.m_eff,true
links.v0,true
links.gamma,true
links.sigma,true
links.energy,true
A.shape,truncated-parabolic
A.length_nm,1.000000
A.m_eff_me,1.000000
A.v0_ev,10.000000
A.gamma_ev,0.000000
A.sigma_ev,0.100000
A.energy_ev,0.870000
A.e_star_ev,0.038100
A.v0_internal,262.467192
A.e_hist_max_ev,14.000000
A.position_measurements,9030.000000
A.energy_measurements,9030.000000
A.ionisation_events,0.000000
A.outside_box_events,3.000000
A.mean_x_engine,0.498874
A.mean_e_ev,0.873129
B.shape,softened-coulomb
B.length_nm,1.000000
B.m_eff_me,1.000000
B.v0_ev,10.000000
B.gamma_ev,0.000000
B.sigma_ev,0.100000
B.energy_ev,1.300000
B.e_star_ev,0.038100
B.v0_internal,262.467192
B.e_hist_max_ev,14.000000
B.position_measurements,9030.000000
B.energy_measurements,9030.000000
B.ionisation_events,0.000000
B.outside_box_events,7.000000
B.mean_x_engine,0.504688
B.mean_e_ev,1.299832

system,shape,n,parity,E_n_ev,E_n_engine,k,kappa
A,truncated-parabolic,1,even,0.872881,22.910273,,
A,truncated-parabolic,2,odd,2.618518,68.727513,,
A,truncated-parabolic,3,even,4.363479,114.527021,,
A,truncated-parabolic,4,odd,6.104363,160.219504,,
A,truncated-parabolic,5,even,7.822320,205.310238,,
A,truncated-parabolic,6,odd,9.417780,247.185829,,
B,softened-coulomb,1,even,1.300207,34.126168,,
B,softened-coulomb,2,odd,3.504837,91.990478,,
B,softened-coulomb,3,even,5.046855,132.463389,,
B,softened-coulomb,4,odd,6.140691,161.172987,,
B,softened-coulomb,5,even,6.931490,181.928878,,
B,softened-coulomb,6,odd,7.529369,197.621238,,
B,softened-coulomb,7,even,8.046672,211.198741,,
B,softened-coulomb,8,odd,8.592065,225.513521,,

kind,system,bin_index,bin_center,density
position,A,0,-0.293333,0.000000
position,A,1,-0.280000,0.000000
position,A,2,-0.266667,0.000000
position,A,3,-0.253333,0.000000
position,A,4,-0.240000,0.000000
position,A,5,-0.226667,0.000000
position,A,6,-0.213333,0.000000
position,A,7,-0.200000,0.000000
position,A,8,-0.186667,0.000000
position,A,9,-0.173333,0.000000
position,A,10,-0.160000,0.000000
position,A,11,-0.146667,0.000000
position,A,12,-0.133333,0.000000
position,A,13,-0.120000,0.000000
position,A,14,-0.106667,0.000000
position,A,15,-0.093333,0.000000
position,A,16,-0.080000,0.000000
position,A,17,-0.066667,0.000000
position,A,18,-0.053333,0.000000
position,A,19,-0.040000,0.000000
position,A,20,-0.026667,0.000000
position,A,21,-0.013333,0.008306
position,A,22,0.000000,0.008306
position,A,23,0.013333,0.008306
position,A,24,0.026667,0.000000
position,A,25,0.040000,0.016611
position,A,26,0.053333,0.016611
position,A,27,0.066667,0.016611
position,A,28,0.080000,0.024917
position,A,29,0.093333,0.074751
position,A,30,0.106667,0.049834
position,A,31,0.120000,0.074751
position,A,32,0.133333,0.091362
position,A,33,0.146667,0.132890
position,A,34,0.160000,0.199336
position,A,35,0.173333,0.215947
position,A,36,0.186667,0.357143
position,A,37,0.200000,0.290698
position,A,38,0.213333,0.382060
position,A,39,0.226667,0.440199
position,A,40,0.240000,0.656146
position,A,41,0.253333,0.855482
position,A,42,0.266667,0.822259
position,A,43,0.280000,0.822259
position,A,44,0.293333,0.930233
position,A,45,0.306667,1.146179
position,A,46,0.320000,1.204319
position,A,47,0.333333,1.436877
position,A,48,0.346667,1.669435
position,A,49,0.360000,1.910299
position,A,50,0.373333,1.901993
position,A,51,0.386667,2.176080
position,A,52,0.400000,2.333887
position,A,53,0.413333,2.300664
position,A,54,0.426667,2.400332
position,A,55,0.440000,2.549834
position,A,56,0.453333,2.516611
position,A,57,0.466667,2.906977
position,A,58,0.480000,2.657807
position,A,59,0.493333,2.857143
position,A,60,0.506667,2.416944
position,A,61,0.520000,2.558140
position,A,62,0.533333,2.483389
position,A,63,0.546667,2.358804
position,A,64,0.560000,2.358804
position,A,65,0.573333,2.242525
position,A,66,0.586667,2.292359
position,A,67,0.600000,2.292359
position,A,68,0.613333,1.868771
position,A,69,0.626667,1.893688
position,A,70,0.640000,1.827243
position,A,71,0.653333,1.644518
position,A,72,0.666667,1.403654
position,A,73,0.680000,1.279070
position,A,74,0.693333,1.179402
position,A,75,0.706667,0.905316
position,A,76,0.720000,0.863787
position,A,77,0.733333,0.739203
position,A,78,0.746667,0.598007
position,A,79,0.760000,0.647841
position,A,80,0.773333,0.539867
position,A,81,0.786667,0.506645
position,A,82,0.800000,0.340532
position,A,83,0.813333,0.365449
position,A,84,0.826667,0.174419
position,A,85,0.840000,0.174419
position,A,86,0.853333,0.132890
position,A,87,0.866667,0.116279
position,A,88,0.880000,0.074751
