key,value
exported_at,2026-05-29T20:31:22.800Z
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
show_eigenstates,true
show_theory,false
links.L,false
links.m_eff,true
links.v0,true
links.gamma,true
links.sigma,true
links.energy,true
A.length_nm,1.000000
A.m_eff_me,1.000000
A.v0_ev,8.000000
A.gamma_ev,0.000000
A.sigma_ev,0.100000
A.energy_ev,1.150000
A.e_star_ev,0.038100
A.v0_internal,209.973753
A.e_hist_max_ev,11.200000
A.position_measurements,10001.000000
A.energy_measurements,10001.000000
A.ionisation_events,0.000000
A.outside_box_events,201.000000
A.mean_x_engine,0.493165
A.mean_e_ev,1.154154
B.length_nm,1.500000
B.m_eff_me,1.000000
B.v0_ev,8.000000
B.gamma_ev,0.000000
B.sigma_ev,0.100000
B.energy_ev,0.560000
B.e_star_ev,0.016933
B.v0_internal,472.440945
B.e_hist_max_ev,11.200000
B.position_measurements,10001.000000
B.energy_measurements,10001.000000
B.ionisation_events,0.000000
B.outside_box_events,58.000000
B.mean_x_engine,0.505589
B.mean_e_ev,0.558488

system,n,parity,E_n_ev,E_n_engine,k,kappa
A,1,even,0.289919,7.609428,2.758519,14.225482
A,2,odd,1.154183,30.293515,5.503954,13.404486
A,3,even,2.573501,67.545950,8.218634,11.934312
A,4,odd,4.501640,118.153275,10.869833,9.582300
A,5,even,6.801663,178.521326,13.361187,5.608246
B,1,even,0.140078,8.272327,2.876165,21.544573
B,2,odd,0.559455,33.038653,5.747926,20.961925
B,3,even,1.255356,74.135201,8.610180,19.957599
B,4,odd,2.222364,131.241969,11.456089,18.471572
B,5,even,3.450580,203.774413,14.274958,16.391050
B,6,odd,4.920563,290.584433,17.046537,13.485418
B,7,even,6.583742,388.803637,19.718104,9.145344

kind,system,bin_index,bin_center,density
position,A,0,-0.293333,0.000000
position,A,1,-0.280000,0.000000
position,A,2,-0.266667,0.000000
position,A,3,-0.253333,0.000000
position,A,4,-0.240000,0.000000
position,A,5,-0.226667,0.000000
position,A,6,-0.213333,0.000000
position,A,7,-0.200000,0.007499
position,A,8,-0.186667,0.000000
position,A,9,-0.173333,0.000000
position,A,10,-0.160000,0.000000
position,A,11,-0.146667,0.007499
position,A,12,-0.133333,0.000000
position,A,13,-0.120000,0.022498
position,A,14,-0.106667,0.014999
position,A,15,-0.093333,0.014999
position,A,16,-0.080000,0.000000
position,A,17,-0.066667,0.037496
position,A,18,-0.053333,0.052495
position,A,19,-0.040000,0.112489
position,A,20,-0.026667,0.149985
position,A,21,-0.013333,0.209979
position,A,22,0.000000,0.247475
position,A,23,0.013333,0.307469
position,A,24,0.026667,0.517448
position,A,25,0.040000,0.577442
position,A,26,0.053333,0.764924
position,A,27,0.066667,0.802420
position,A,28,0.080000,0.892411
position,A,29,0.093333,1.034897
position,A,30,0.106667,1.139886
position,A,31,0.120000,1.357364
position,A,32,0.133333,1.552345
position,A,33,0.146667,1.274873
position,A,34,0.160000,1.679832
position,A,35,0.173333,1.709829
position,A,36,0.186667,1.882312
position,A,37,0.200000,1.904810
position,A,38,0.213333,1.747325
position,A,39,0.226667,1.957304
position,A,40,0.240000,1.694831
position,A,41,0.253333,1.672333
position,A,42,0.266667,1.694831
position,A,43,0.280000,1.604840
position,A,44,0.293333,1.297370
position,A,45,0.306667,1.259874
position,A,46,0.320000,1.349865
position,A,47,0.333333,1.222378
position,A,48,0.346667,0.952405
position,A,49,0.360000,0.832417
position,A,50,0.373333,0.712429
position,A,51,0.386667,0.614939
position,A,52,0.400000,0.449955
position,A,53,0.413333,0.337466
position,A,54,0.426667,0.314969
position,A,55,0.440000,0.149985
position,A,56,0.453333,0.142486
position,A,57,0.466667,0.044996
position,A,58,0.480000,0.014999
position,A,59,0.493333,0.000000
position,A,60,0.506667,0.007499
position,A,61,0.520000,0.029997
position,A,62,0.533333,0.044996
position,A,63,0.546667,0.157484
position,A,64,0.560000,0.127487
position,A,65,0.573333,0.292471
position,A,66,0.586667,0.359964
position,A,67,0.600000,0.479952
position,A,68,0.613333,0.622438
position,A,69,0.626667,0.652435
position,A,70,0.640000,0.824918
position,A,71,0.653333,0.974903
position,A,72,0.666667,1.012399
position,A,73,0.680000,1.282372
position,A,74,0.693333,1.357364
position,A,75,0.706667,1.424858
position,A,76,0.720000,1.522348
position,A,77,0.733333,1.477352
position,A,78,0.746667,1.514849
position,A,79,0.760000,1.762324
position,A,80,0.773333,1.619838
position,A,81,0.786667,1.897310
position,A,82,0.800000,1.694831
position,A,83,0.813333,1.507349
position,A,84,0.826667,1.709829
position,A,85,0.840000,1.387361
position,A,86,0.853333,1.522348
position,A,87,0.866667,1.334867
position,A,88,0.880000,1.184882
position,A,89,0.893333,1.184882
position,A,90,0.906667,1.132387
position,A,91,0.920000,1.094891
position,A,92,0.933333,0.764924
position,A,93,0.946667,0.502450
position,A,94,0.960000,0.569943
